2015-08-10 10:44:51 DEBUG logging:55 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2015-08-10 10:44:51 INFO  LogHelper:46 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@5a4f633f
2015-08-10 10:44:52 DEBUG BasicTypeRegistry:146 - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@64252544
2015-08-10 10:44:52 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2015-08-10 10:44:53 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2015-08-10 10:44:53 INFO  ASTQueryTranslatorFactory:47 - HHH000397: Using ASTQueryTranslatorFactory
2015-08-10 10:44:53 TRACE TypeFactory:72 - Scoping types to session factory org.hibernate.internal.SessionFactoryImpl@35a40528
2015-08-10 10:44:53 INFO  Version:27 - HV000001: Hibernate Validator 5.1.3.Final
2015-08-10 10:45:01 INFO  LogHelper:46 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration boolean -> org.hibernate.type.BooleanType@3cee11e1
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration boolean -> org.hibernate.type.BooleanType@3cee11e1
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3cee11e1
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1c0d0745
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@51394772
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration yes_no -> org.hibernate.type.YesNoType@2f5a3f3b
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration byte -> org.hibernate.type.ByteType@453be14
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration byte -> org.hibernate.type.ByteType@453be14
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@453be14
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration character -> org.hibernate.type.CharacterType@6a35ab2e
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration char -> org.hibernate.type.CharacterType@6a35ab2e
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6a35ab2e
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration short -> org.hibernate.type.ShortType@11fdbf0f
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration short -> org.hibernate.type.ShortType@11fdbf0f
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@11fdbf0f
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration integer -> org.hibernate.type.IntegerType@7fd28f0e
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration int -> org.hibernate.type.IntegerType@7fd28f0e
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7fd28f0e
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration long -> org.hibernate.type.LongType@7773054a
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration long -> org.hibernate.type.LongType@7773054a
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7773054a
2015-08-10 10:45:01 DEBUG BasicTypeRegistry:146 - Adding type registration float -> org.hibernate.type.FloatType@46a6dfd4
